지역(구),기준년월,연도,전기요금총액(원),연근로소득(원),월근로소득(원),전기요금지출비율,비율X10000,점수(1-10),점수(1-5)
중랑구,202001,2020,"4,678,842,059",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202002,2020,"4,647,555,770",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202003,2020,"4,177,357,980",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202004,2020,"4,202,594,305",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202005,2020,"3,778,182,455",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202006,2020,"4,148,263,107",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202007,2020,"4,293,277,814",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202008,2020,"5,017,881,804",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202009,2020,"5,834,512,966",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202010,2020,"3,831,988,860",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202011,2020,"4,066,032,888",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
중랑구,202012,2020,"4,567,038,930",,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
