년월,시군구,년월,월전기요금total(원),월근로소득(원),전기요금/근로소득(%),ratio_score,score,연도,월
201610,강서구,201610,5429148195.000001,570496666666.6666,0.00951652921431034,95.1652921431034,1,2016,10
201611,강서구,201611,6495707550.999999,570496666666.6666,0.011386056975500878,113.86056975500878,2,2016,11
201612,강서구,201612,6517338240.0,570496666666.6666,0.011423972515176834,114.23972515176834,2,2016,12
201601,관악구,201601,6784222220.000001,180788166666.66666,0.03752580904539291,375.2580904539291,4,2016,01
201602,관악구,201602,7113182943.999999,180788166666.66666,0.039345401168402426,393.45401168402424,4,2016,02
201603,관악구,201603,5669611054.000001,180788166666.66666,0.031360520760484886,313.6052076048489,4,2016,03
201604,관악구,201604,5690523209.0,180788166666.66666,0.03147619290532474,314.7619290532474,4,2016,04
201605,관악구,201605,5021887010.000001,180788166666.66666,0.027777741776978403,277.77741776978405,3,2016,05
201606,관악구,201606,5377015799.999999,180788166666.66666,0.029742078251802983,297.42078251802985,3,2016,06
201607,관악구,201607,6154072850.999999,180788166666.66666,0.03404024148520045,340.4024148520045,4,2016,07
201608,관악구,201608,10447223238.0,180788166666.66666,0.05778709652641351,577.8709652641352,6,2016,08
201609,관악구,201609,4281964062.9999986,180788166666.66666,0.02368497973042114,236.8497973042114,3,2016,09
201610,관악구,201610,4653874776.0,180788166666.66666,0.02574214265129816,257.4214265129816,3,2016,10
201611,관악구,201611,5487279096.0,180788166666.66666,0.030351981532714626,303.51981532714626,4,2016,11
201612,관악구,201612,5538795120.000001,180788166666.66666,0.03063693394386986,306.3693394386986,4,2016,12
201601,광진구,201601,5173884170.0,203057500000.0,0.025479896925747633,254.79896925747633,3,2016,01
201602,광진구,201602,5298084206.0,203057500000.0,0.026091546512687292,260.9154651268729,3,2016,02
201603,광진구,201603,4241582410.9999986,203057500000.0,0.02088857792004727,208.88577920047268,3,2016,03
201604,광진구,201604,4238678611.9999995,203057500000.0,0.020874277542075517,208.74277542075515,3,2016,04
201605,광진구,201605,3800195256.0000005,203057500000.0,0.018714872664146856,187.14872664146856,2,2016,05
201606,광진구,201606,4293971200.0,203057500000.0,0.021146577693510457,211.46577693510457,3,2016,06
201607,광진구,201607,5255551444.0,203057500000.0,0.025882084847887912,258.8208484788791,3,2016,07
201608,광진구,201608,9838191915.000002,203057500000.0,0.04845027598094137,484.5027598094137,5,2016,08
201609,광진구,201609,3509036563.0,203057500000.0,0.01728099953461458,172.8099953461458,2,2016,09
201610,광진구,201610,3574249728.0,203057500000.0,0.01760215568496608,176.0215568496608,2,2016,10
201611,광진구,201611,4137483356.0000005,203057500000.0,0.02037591990446056,203.75919904460562,3,2016,11
201612,광진구,201612,4141660878.0000014,203057500000.0,0.020396493003213383,203.96493003213382,3,2016,12
201601,구로구,201601,5942768370.000002,483831750000.0,0.012282716812197633,122.82716812197633,2,2016,01
201602,구로구,201602,6073854800.000001,483831750000.0,0.012553650726724737,125.53650726724737,2,2016,02
201603,구로구,201603,4929730456.0,483831750000.0,0.010188935422282643,101.88935422282643,2,2016,03
201604,구로구,201604,4881062348.0,483831750000.0,0.010088346513018213,100.88346513018213,2,2016,04
201605,구로구,201605,4383631961.999999,483831750000.0,0.009060240387283387,90.60240387283386,1,2016,05
201606,구로구,201606,4663501332.0,483831750000.0,0.009638683968135617,96.38683968135616,1,2016,06
201607,구로구,201607,5462627235.0,483831750000.0,0.01129034470143805,112.9034470143805,2,2016,07
201608,구로구,201608,9764785096.0,483831750000.0,0.020182191631698414,201.82191631698416,3,2016,08
201609,구로구,201609,3740934575.9999995,483831750000.0,0.007731891460202848,77.31891460202849,1,2016,09
201610,구로구,201610,4024074970.0,483831750000.0,0.00831709570527358,83.17095705273579,1,2016,10
201611,구로구,201611,4789800400.0,483831750000.0,0.009899723199231965,98.99723199231966,1,2016,11
