년월,자치구명,에너지바우처점수,최소에너지점수,연료비비율점수,점수합계,percent
201705,서대문구,2,7,4,13,43.333333333333336
201705,서초구,1,6,5,12,40.0
201705,성동구,1,4,6,11,36.666666666666664
201705,성북구,3,6,4,13,43.333333333333336
201705,송파구,2,7,4,13,43.333333333333336
201705,양천구,2,7,4,13,43.333333333333336
201705,영등포구,2,7,4,13,43.333333333333336
201705,용산구,1,6,2,9,30.0
201705,은평구,5,6,2,13,43.333333333333336
201705,종로구,1,7,2,10,33.33333333333333
201705,중구,1,7,2,10,33.33333333333333
201705,중랑구,4,7,2,13,43.333333333333336
201706,강남구,3,7,2,12,40.0
201706,강동구,2,7,2,11,36.666666666666664
201706,강북구,4,5,3,12,40.0
201706,강서구,6,6,2,14,46.666666666666664
201706,관악구,4,7,2,13,43.333333333333336
201706,광진구,1,7,2,10,33.33333333333333
201706,구로구,2,7,2,11,36.666666666666664
201706,금천구,2,8,3,13,43.333333333333336
201706,노원구,7,8,3,18,60.0
201706,도봉구,2,9,2,13,43.333333333333336
201706,동대문구,3,9,2,14,46.666666666666664
201706,동작구,2,9,2,13,43.333333333333336
201706,마포구,2,9,2,13,43.333333333333336
201706,서대문구,2,9,3,14,46.666666666666664
201706,서초구,1,7,3,11,36.666666666666664
201706,성동구,1,8,2,11,36.666666666666664
201706,성북구,3,9,2,14,46.666666666666664
201706,송파구,2,9,2,13,43.333333333333336
201706,양천구,2,9,2,13,43.333333333333336
201706,영등포구,2,8,1,11,36.666666666666664
201706,용산구,1,8,1,10,33.33333333333333
201706,은평구,5,9,1,15,50.0
201706,종로구,1,9,1,11,36.666666666666664
201706,중구,1,9,1,11,36.666666666666664
201706,중랑구,4,9,1,14,46.666666666666664
201707,강남구,3,8,1,12,40.0
201707,강동구,2,8,2,12,40.0
201707,강북구,4,9,1,14,46.666666666666664
201707,강서구,6,9,1,16,53.333333333333336
201707,관악구,4,9,1,14,46.666666666666664
201707,광진구,1,8,1,10,33.33333333333333
201707,구로구,2,8,2,12,40.0
201707,금천구,2,8,2,12,40.0
201707,노원구,7,9,2,18,60.0
201707,도봉구,2,9,2,13,43.333333333333336
201707,동대문구,3,9,2,14,46.666666666666664
201707,동작구,2,9,2,13,43.333333333333336
201707,마포구,2,8,2,12,40.0
201707,서대문구,2,7,2,11,36.666666666666664
201707,서초구,1,8,2,11,36.666666666666664
201707,성동구,1,9,2,12,40.0
201707,성북구,3,9,2,14,46.666666666666664
201707,송파구,2,8,2,12,40.0
201707,양천구,2,8,1,11,36.666666666666664
201707,영등포구,2,8,1,11,36.666666666666664
201707,용산구,1,9,1,11,36.666666666666664
201707,은평구,5,9,1,15,50.0
201707,종로구,1,9,1,11,36.666666666666664
201707,중구,1,9,1,11,36.666666666666664
201707,중랑구,4,9,1,14,46.666666666666664
201708,강남구,3,7,1,11,36.666666666666664
201708,강동구,2,8,1,11,36.666666666666664
201708,강북구,4,9,1,14,46.666666666666664
201708,강서구,6,9,1,16,53.333333333333336
201708,관악구,4,9,1,14,46.666666666666664
201708,광진구,1,8,1,10,33.33333333333333
201708,구로구,2,8,1,11,36.666666666666664
201708,금천구,2,8,1,11,36.666666666666664
201708,노원구,7,8,1,16,53.333333333333336
201708,도봉구,2,8,1,11,36.666666666666664
