연월,자치구명,65~69세,70~74세,75~79세,7세미만,80~89세,90세이상,합계,점수
201701,관악구,921,935,917,309,869,150,4101,3
201701,광진구,453,474,408,134,457,68,1994,1
201701,구로구,562,670,677,269,614,94,2886,2
201701,금천구,667,751,663,232,659,88,3060,2
201701,노원구,1638,1821,1763,507,1746,313,7788,7
201701,도봉구,571,664,696,236,673,111,2951,2
201701,동대문구,957,1054,935,195,774,98,4013,3
201701,동작구,536,654,619,243,593,100,2745,2
201701,마포구,532,639,542,254,595,92,2654,2
201701,서대문구,468,544,573,529,548,76,2738,2
201701,서초구,289,339,275,186,305,50,1444,1
201701,성동구,494,550,529,131,471,70,2245,1
201701,성북구,832,936,924,338,819,128,3977,3
201701,송파구,610,612,503,193,535,101,2554,2
201701,양천구,641,688,694,221,672,96,3012,2
201701,영등포구,766,687,610,198,585,96,2942,2
201701,용산구,511,505,481,138,417,72,2124,1
201701,은평구,1219,1276,1163,405,1121,165,5349,5
201701,종로구,368,422,327,33,302,79,1531,1
201701,중구,384,367,350,95,351,41,1588,1
201701,중랑구,1001,1045,947,312,1051,198,4554,4
201702,강남구,894,901,722,368,690,136,3711,3
201702,강동구,646,629,620,263,617,113,2888,2
201702,강북구,999,1169,1069,322,993,136,4688,4
201702,강서구,1400,1508,1547,389,1610,281,6735,6
201702,관악구,909,950,924,296,872,152,4103,3
201702,광진구,458,469,420,139,456,69,2011,1
201702,구로구,562,673,677,275,619,94,2900,2
201702,금천구,667,752,679,228,663,90,3079,2
201702,노원구,1648,1816,1780,507,1756,310,7817,7
201702,도봉구,575,658,709,239,684,114,2979,2
201702,동대문구,951,1067,935,194,782,103,4032,3
201702,동작구,531,660,622,233,594,98,2738,2
201702,마포구,538,637,546,241,601,93,2656,2
201702,서대문구,473,541,582,549,547,78,2770,2
201702,서초구,293,338,278,183,309,49,1450,1
201702,성동구,493,547,527,129,475,71,2242,1
201702,성북구,833,927,934,336,820,128,3978,3
201702,송파구,606,616,503,200,535,108,2568,2
201702,양천구,637,695,705,226,678,94,3035,2
201702,영등포구,773,680,614,201,596,94,2958,2
201702,용산구,511,507,488,146,414,74,2140,1
201702,은평구,1217,1295,1161,403,1136,168,5380,5
