연월,자치구명,7세미만,65~69세,70~74세,75~79세,80~89세,90세이상,합계,점수
201609,양천구,260,660,714,692,663,92,3081,2
201609,영등포구,203,808,710,616,595,93,3025,2
201609,용산구,154,518,526,505,408,71,2182,1
201609,은평구,426,"1,253","1,299","1,128","1,113",159,5378,5
201609,종로구,39,361,425,317,300,81,1523,1
201609,중구,81,381,378,337,344,38,1559,1
201609,중랑구,353,"1,042","1,054",946,"1,029",196,4620,4
201610,강남구,413,893,909,708,669,130,3722,3
201610,강동구,274,646,652,610,604,111,2897,2
201610,강북구,356,"1,020","1,196","1,036",966,142,4716,4
201610,강서구,399,"1,378","1,480","1,525","1,552",275,6609,6
201610,관악구,321,914,959,918,855,138,4105,3
201610,광진구,153,451,487,417,449,68,2025,1
201610,구로구,278,561,680,675,612,88,2894,2
201610,금천구,259,662,778,658,650,92,3099,2
201610,노원구,524,"1,663","1,832","1,740","1,719",312,7790,7
201610,도봉구,263,587,680,685,667,114,2996,2
201610,동대문구,204,948,"1,075",908,769,93,3997,3
201610,동작구,248,549,656,599,591,103,2746,2
201610,마포구,258,550,660,546,594,87,2695,2
201610,서대문구,522,476,560,561,537,72,2728,2
201610,서초구,186,286,338,266,300,53,1429,1
201610,성동구,143,489,555,550,468,69,2274,1
201610,성북구,365,862,965,934,826,126,4078,3
201610,송파구,204,606,605,507,522,93,2537,2
201610,양천구,252,655,716,695,663,89,3070,2
201610,영등포구,203,788,704,615,585,96,2991,2
201610,용산구,150,519,523,501,412,71,2176,1
201610,은평구,420,"1,261","1,302","1,127","1,112",162,5384,5
201610,종로구,38,365,425,321,299,79,1527,1
201610,중구,95,390,375,343,344,40,1587,1
201610,중랑구,341,"1,038","1,031",957,"1,035",198,4600,4
201611,강남구,380,902,913,709,674,129,3707,3
201611,강동구,269,638,643,604,600,107,2861,2
201611,강북구,335,"1,008","1,200","1,038",976,139,4696,4
201611,강서구,389,"1,390","1,491","1,534","1,569",272,6645,6
201611,관악구,326,910,958,912,856,141,4103,3
201611,광진구,144,450,481,422,459,66,2022,1
201611,구로구,282,566,682,668,615,88,2901,2
201611,금천구,248,668,764,656,648,87,3071,2
201611,노원구,526,"1,654","1,844","1,742","1,722",316,7804,7
201611,도봉구,258,578,666,688,673,110,2973,2
201611,동대문구,206,961,"1,067",914,772,94,4014,3
201611,동작구,246,555,661,603,591,101,2757,2
201611,마포구,256,544,649,541,591,86,2667,2
201611,서대문구,524,481,565,569,533,73,2745,2
201611,서초구,190,289,341,276,301,54,1451,1
201611,성동구,137,492,553,533,472,71,2258,1
201611,성북구,352,848,948,931,818,124,4021,3
201611,송파구,205,619,613,496,526,94,2553,2
201611,양천구,233,658,706,694,652,92,3035,2
201611,영등포구,202,787,693,606,584,96,2968,2
201611,용산구,148,512,519,495,412,70,2156,1
201611,은평구,413,"1,247","1,280","1,128","1,112",159,5339,5
201611,종로구,43,370,419,327,298,81,1538,1
201611,중구,96,394,372,345,347,40,1594,1
201611,중랑구,325,"1,026","1,034",957,"1,036",199,4577,4
201612,강남구,360,901,897,714,676,131,3679,3
201612,강동구,280,652,636,608,600,112,2888,2
201612,강북구,334,"1,001","1,180","1,034",971,137,4657,4
201612,강서구,387,"1,393","1,509","1,523","1,589",272,6673,6
201612,관악구,312,914,943,918,857,146,4090,3
201612,광진구,136,451,480,409,449,67,1992,1
